"income","spread","loan.amount","high.rate","black","woman"
47,3.18,95,1,0,0
83,5.46,105,1,0,0
69,4.08,40,1,0,1
56,3.79,27,1,0,1
288,0,320,0,0,0
168,0,247,0,0,0
96,5.49,45,1,0,0
62,3.56,38,1,0,1
100,0,89,0,0,0
75,3.52,62,1,0,1
48,4.83,75,1,0,0
104,3.95,78,1,0,0
167,4.89,100,1,0,0
48,6.03,17,1,0,0
160,3.4,139,1,0,0
148,3.41,65,1,0,0
72,3.91,56,1,0,0
93,3.8,63,1,0,0
110,3.88,83,1,0,1
116,3.21,44,1,0,0
44,3.29,31,1,0,0
50,3.21,20,1,0,0
54,3.21,23,1,0,0
44,3.14,45,1,0,1
142,3.14,50,1,0,0
52,3.15,20,1,0,0
144,3.37,32,1,0,0
49,3.37,43,1,0,1
115,0,22,0,0,0
63,3.17,98,1,0,0
119,5.08,53,1,0,0
62,3.65,115,1,0,0
86,4.01,48,1,0,1
48,3.52,104,1,0,0
166,3.12,61,1,0,0
92,3.56,64,1,0,0
49,3.7,33,1,0,1
58,3.2,32,1,0,0
111,3.14,43,1,0,0
47,3.15,29,1,0,0
75,0,41,0,0,0
255,0,118,0,0,0
27,3.33,25,1,0,1
30,5.37,23,1,0,0
375,0,274,0,0,0
175,0,14,0,0,0
175,0,107,0,0,0
54,3.07,61,1,0,0
121,3.55,62,1,0,1
75,3.13,41,1,0,0
106,3.19,77,1,0,0
43,3.2,26,1,0,1
85,3.09,50,1,0,1
36,4.08,28,1,0,1
56,4.13,13,1,0,0
32,5.27,21,1,0,0
56,3.28,39,1,0,0
22,3.43,42,1,0,1
36,4.32,47,1,0,0
345,3.39,41,1,0,0
36,3.53,27,1,0,0
52,3.91,33,1,0,1
28,4.39,33,1,0,0
41,0,82,0,0,1
128,3.77,102,1,0,0
86,3.39,57,1,0,0
43,3.34,57,1,0,0
28,3.96,51,1,0,0
300,3.11,51,1,0,0
42,3.37,47,1,0,0
15,3.3,57,1,0,0
78,3.6,53,1,0,0
94,3.63,67,1,0,0
57,3.51,115,1,0,1
291,0,107,0,0,0
112,3.41,105,1,0,0
44,3.8,65,1,0,0
46,4.32,9,1,0,0
895,3.1,407,1,0,1
162,0,31,0,0,1
59,3.28,70,1,0,0
144,0,205,0,0,1
144,0,51,0,0,1
81,0,254,0,0,1
128,0,72,0,0,0
66,3.13,50,1,0,0
31,4,67,1,0,0
43,3.37,32,1,0,1
70,0,46,0,0,0
76,3.12,103,1,0,0
65,0,203,0,0,1
256,0,260,0,0,0
725,0,103,0,0,0
68,5.62,34,1,0,1
85,3.9,37,1,0,1
147,0,43,0,0,0
147,0,345,0,0,0
13,4.31,40,1,0,1
120,6.14,38,1,0,0
130,0,150,0,0,0
70,3.92,62,1,0,0
42,3.16,65,1,0,1
55,4.59,68,1,0,1
64,3.98,61,1,0,0
89,3.38,31,1,0,0
140,0,247,0,0,0
167,0,104,0,0,0
106,5.58,26,1,0,0
229,0,345,0,0,0
44,3.29,95,1,0,1
115,3.57,112,1,0,1
160,0,315,0,0,1
350,0,26,0,0,0
350,0,208,0,0,0
